,area_name,district_name,name,result_protiv,result_unom_type,result_yavka,result_za,status,updated_at
3356,Выхино-Жулебино,ЮВАО,"Самаркандский бульвар, дом 20, корпус 1",5.0,1,63.0,95.0,in_list,06.06
3357,Рязанский,ЮВАО,"Рязанский проспект, дом 49, корпус 3",14.0,1,62.0,86.0,in_list,06.06
3358,Выхино-Жулебино,ЮВАО,"Самаркандский бульвар, дом 20, корпус 2",5.0,1,66.0,95.0,in_list,06.06
3359,Рязанский,ЮВАО,"Рязанский проспект, дом 49, корпус 4",9.0,1,74.0,91.0,in_list,06.06
3360,Выхино-Жулебино,ЮВАО,"Самаркандский бульвар, дом 20, корпус 3",16.0,1,63.0,84.0,in_list,06.06
3361,Выхино-Жулебино,ЮВАО,"Самаркандский бульвар, дом 22, корпус 1",10.0,1,54.0,90.0,in_list,06.06
3362,Выхино-Жулебино,ЮВАО,"Самаркандский бульвар, дом 24, корпус 1",4.0,1,50.0,96.0,in_list,06.06
3363,Выхино-Жулебино,ЮВАО,"Самаркандский бульвар, дом 24, корпус 2",11.0,1,64.0,89.0,in_list,06.06
3364,Выхино-Жулебино,ЮВАО,"Самаркандский бульвар, дом 24, корпус 3",3.0,1,62.0,97.0,in_list,06.06
3365,Соколиная Гора,ВАО,"5-я улица Соколиной Горы, дом 21, корпус 2",0.0,1,100.0,100.0,in_list,06.06
3366,Соколиная Гора,ВАО,"5-я улица Соколиной Горы, дом 21, корпус 3",3.0,1,58.0,97.0,in_list,06.06
3367,Соколиная Гора,ВАО,"5-я улица Соколиной Горы, дом 21, корпус 4",15.0,1,46.0,85.0,in_list,06.06
3368,Соколиная Гора,ВАО,"5-я улица Соколиной Горы, дом 21, корпус 5",0.0,1,65.0,100.0,in_list,06.06
3369,Люблино,ЮВАО,"Спортивный проезд, дом 4Б",48.0,1,64.0,52.0,in_list,06.06
3370,Соколиная Гора,ВАО,"5-я улица Соколиной Горы, дом 23, корпус 1",9.0,1,55.0,91.0,in_list,06.06
3371,Люблино,ЮВАО,"Спортивный проезд, дом 6",12.0,1,52.0,88.0,in_list,06.06
3372,Соколиная Гора,ВАО,"5-я улица Соколиной Горы, дом 23, корпус 2",3.0,1,52.0,97.0,in_list,06.06
3373,Люблино,ЮВАО,"Ставропольская улица, дом 15",20.0,1,64.0,80.0,in_list,06.06
3374,Люблино,ЮВАО,"Ставропольская улица, дом 17А",12.0,1,68.0,88.0,in_list,06.06
3375,Соколиная Гора,ВАО,"5-я улица Соколиной Горы, дом 23, корпус 3",23.0,1,67.0,77.0,in_list,06.06
3376,Люблино,ЮВАО,"Ставропольская улица, дом 18",3.0,1,49.0,97.0,in_list,06.06
3377,Соколиная Гора,ВАО,"5-я улица Соколиной Горы, дом 4",50.0,1,79.0,50.0,in_list,06.06
3378,Люблино,ЮВАО,"Ставропольская улица, дом 19",8.0,1,63.0,92.0,in_list,06.06
3379,Соколиная Гора,ВАО,"8-я улица Соколиной Горы, дом 18, корпус 1",55.0,1,82.0,45.0,in_list,06.06
3380,Люблино,ЮВАО,"Ставропольская улица, дом 19А",30.0,1,57.0,70.0,in_list,06.06
3381,Соколиная Гора,ВАО,"8-я улица Соколиной Горы, дом 18, корпус 2",0.0,1,57.0,100.0,in_list,06.06
3382,Люблино,ЮВАО,"Ставропольская улица, дом 2",9.0,1,57.0,91.0,in_list,06.06
3383,Соколиная Гора,ВАО,"8-я улица Соколиной Горы, дом 20",11.0,1,58.0,89.0,in_list,06.06
3384,Соколиная Гора,ВАО,"8-я улица Соколиной Горы, дом 4",33.0,1,63.0,67.0,in_list,06.06
3385,Люблино,ЮВАО,"Ставропольская улица, дом 21А",12.0,1,53.0,88.0,in_list,06.06
3386,Люблино,ЮВАО,"Ставропольская улица, дом 22",16.0,1,56.0,84.0,in_list,06.06
3387,Соколиная Гора,ВАО,"8-я улица Соколиной Горы, дом 6",45.0,1,62.0,55.0,in_list,06.06
3388,Люблино,ЮВАО,"Ставропольская улица, дом 28",7.0,1,73.0,93.0,in_list,06.06
3389,Сокольники,ВАО,"улица Сокольнический Вал, дом 2",14.0,1,88.0,86.0,in_list,06.06
3390,Сокольники,ВАО,"улица Сокольнический Вал, дом 4",15.0,1,79.0,85.0,in_list,06.06
3391,Люблино,ЮВАО,"Ставропольская улица, дом 4",7.0,1,79.0,93.0,in_list,06.06
